kode_kabupaten_kota,nama_kabupaten_kota,persentase_pemberian_asi,tahun,jumlah_anak_stunting
3201, BOGOR,45.52,2018,1107.0
3201, BOGOR,45.52,2018,1086.0
3201, BOGOR,45.52,2018,1226.0
3202, SUKABUMI,73.82,2018,1838.0
3202, SUKABUMI,73.82,2018,2093.0
3202, SUKABUMI,73.82,2018,2514.0
3203, CIANJUR,46.94,2018,809.0
3203, CIANJUR,46.94,2018,794.0
3203, CIANJUR,46.94,2018,732.0
3204, BANDUNG,27.58,2018,1579.0
3204, BANDUNG,27.58,2018,2084.0
3204, BANDUNG,27.58,2018,2080.0
3205, GARUT,22.09,2018,1160.0
3205, GARUT,22.09,2018,1136.0
3205, GARUT,22.09,2018,1525.0
3206, TASIKMALAYA,100.0,2018,1054.0
3206, TASIKMALAYA,100.0,2018,1873.0
3206, TASIKMALAYA,100.0,2018,1995.0
3207, CIAMIS,48.22,2018,634.0
3207, CIAMIS,48.22,2018,777.0
3207, CIAMIS,48.22,2018,1168.0
3208, KUNINGAN,0.0,2018,638.0
3208, KUNINGAN,0.0,2018,617.0
3208, KUNINGAN,0.0,2018,351.0
3209, CIREBON,55.26,2018,1060.0
3209, CIREBON,55.26,2018,1222.0
3209, CIREBON,55.26,2018,1790.0
3210, MAJALENGKA,85.36,2018,635.0
3210, MAJALENGKA,85.36,2018,731.0
3210, MAJALENGKA,85.36,2018,699.0
3211, SUMEDANG,62.84,2018,798.0
3211, SUMEDANG,62.84,2018,967.0
3211, SUMEDANG,62.84,2018,1211.0
3212, INDRAMAYU,29.14,2018,408.0
3212, INDRAMAYU,29.14,2018,333.0
3212, INDRAMAYU,29.14,2018,358.0
3213, SUBANG,61.33,2018,981.0
3213, SUBANG,61.33,2018,769.0
3213, SUBANG,61.33,2018,1420.0
3214, PURWAKARTA,41.29,2018,748.0
3214, PURWAKARTA,41.29,2018,944.0
3214, PURWAKARTA,41.29,2018,1070.0
3215, KARAWANG,18.5,2018,498.0
3215, KARAWANG,18.5,2018,496.0
3215, KARAWANG,18.5,2018,601.0
3216, BEKASI,29.62,2018,289.0
3216, BEKASI,29.62,2018,1145.0
3216, BEKASI,29.62,2018,1041.0
3217, BANDUNG BARAT,55.11,2018,337.0
3217, BANDUNG BARAT,55.11,2018,388.0
3217, BANDUNG BARAT,55.11,2018,444.0
3218, PANGANDARAN,87.86,2018,214.0
3218, PANGANDARAN,87.86,2018,313.0
3218, PANGANDARAN,87.86,2018,474.0
3271,KOTA BOGOR,49.95,2018,
3272,KOTA SUKABUMI,65.16,2018,
3273,KOTA BANDUNG,44.01,2018,
3274,KOTA CIREBON,49.39,2018,
3275,KOTA BEKASI,15.68,2018,
3276,KOTA DEPOK,32.36,2018,
3277,KOTA CIMAHI,17.33,2018,
3278,KOTA TASIKMALAYA,56.01,2018,
3279,KOTA BANJAR,43.18,2018,1.0
3279,KOTA BANJAR,43.18,2018,50.0
3279,KOTA BANJAR,43.18,2018,73.0
3201, BOGOR,53.12,2019,1107.0
3201, BOGOR,53.12,2019,1086.0
3201, BOGOR,53.12,2019,1226.0
3202, SUKABUMI,57.15,2019,1838.0
3202, SUKABUMI,57.15,2019,2093.0
3202, SUKABUMI,57.15,2019,2514.0
3203, CIANJUR,68.78,2019,809.0
3203, CIANJUR,68.78,2019,794.0
3203, CIANJUR,68.78,2019,732.0
3204, BANDUNG,63.84,2019,1579.0
3204, BANDUNG,63.84,2019,2084.0
3204, BANDUNG,63.84,2019,2080.0
3205, GARUT,74.32,2019,1160.0
3205, GARUT,74.32,2019,1136.0
3205, GARUT,74.32,2019,1525.0
3206, TASIKMALAYA,66.77,2019,1054.0
3206, TASIKMALAYA,66.77,2019,1873.0
3206, TASIKMALAYA,66.77,2019,1995.0
3207, CIAMIS,45.96,2019,634.0
3207, CIAMIS,45.96,2019,777.0
3207, CIAMIS,45.96,2019,1168.0
3208, KUNINGAN,74.92,2019,638.0
